form	label	len	freq	train_freq	dev_freq	form	form_freq	label	num_labels	label_freq
이날	DT_DAY	2	808	646	162	이날	808	DT_DAY	1	4356
경찰	OGG_POLITICS	2	734	605	129	경찰	751	OGG_POLITICS	4	4492
경찰	CV_OCCUPATION	2	15	13	2	경찰	751	CV_OCCUPATION	4	3329
경찰	CV_CLOTHING	2	1	1	0	경찰	751	CV_CLOTHING	4	193
경찰	TMI_SERVICE	2	1	1	0	경찰	751	TMI_SERVICE	4	699
배우	CV_OCCUPATION	2	720	578	142	배우	722	CV_OCCUPATION	2	3329
배우	CV_POSITION	2	2	2	0	배우	722	CV_POSITION	2	4290
한국	LCP_COUNTRY	2	556	452	104	한국	608	LCP_COUNTRY	4	3705
한국	OGG_SPORTS	2	41	33	8	한국	608	OGG_SPORTS	4	970
한국	OGG_POLITICS	2	9	6	3	한국	608	OGG_POLITICS	4	4492
한국	EV_SPORTS	2	2	2	0	한국	608	EV_SPORTS	4	720
A	PS_NAME	1	594	489	105	A	598	PS_NAME	3	17466
A	QT_ORDER	1	3	2	1	A	598	QT_ORDER	3	2633
A	OGG_ECONOMY	1	1	1	0	A	598	OGG_ECONOMY	3	1897
미국	LCP_COUNTRY	2	510	434	76	미국	568	LCP_COUNTRY	6	3705
미국	OGG_POLITICS	2	47	39	8	미국	568	OGG_POLITICS	6	4492
미국	OGG_SPORTS	2	6	4	2	미국	568	OGG_SPORTS	6	970
미국	OGG_MEDICINE	2	2	2	0	미국	568	OGG_MEDICINE	6	143
미국	CV_ART	2	2	2	0	미국	568	CV_ART	6	674
미국	LCP_PROVINCE	2	1	1	0	미국	568	LCP_PROVINCE	6	936
감독	CV_POSITION	2	563	457	106	감독	563	CV_POSITION	1	4290
김	PS_NAME	1	515	434	81	김	521	PS_NAME	3	17466
김	CV_FOOD	1	5	4	1	김	521	CV_FOOD	3	360
김	OGG_FOOD	1	1	0	1	김	521	OGG_FOOD	3	181
서울	LCP_CAPITALCITY	2	472	387	85	서울	476	LCP_CAPITALCITY	3	738
서울	LCP_CITY	2	2	2	0	서울	476	LCP_CITY	3	1262
서울	OGG_SPORTS	2	2	2	0	서울	476	OGG_SPORTS	3	970
대통령	CV_POSITION	3	456	386	70	대통령	457	CV_POSITION	2	4290
대통령	OGG_POLITICS	3	1	1	0	대통령	457	OGG_POLITICS	2	4492
일본	LCP_COUNTRY	2	380	306	74	일본	409	LCP_COUNTRY	3	3705
일본	OGG_POLITICS	2	18	17	1	일본	409	OGG_POLITICS	3	4492
일본	OGG_SPORTS	2	11	11	0	일본	409	OGG_SPORTS	3	970
10점	QT_OTHERS	3	398	339	59	10점	404	QT_OTHERS	2	1946
10점	QT_COUNT	3	6	6	0	10점	404	QT_COUNT	2	3166
중국	LCP_COUNTRY	2	354	279	75	중국	379	LCP_COUNTRY	5	3705
중국	OGG_POLITICS	2	15	13	2	중국	379	OGG_POLITICS	5	4492
중국	OGG_SPORTS	2	7	7	0	중국	379	OGG_SPORTS	5	970
중국	CV_ART	2	2	2	0	중국	379	CV_ART	5	674
중국	OGG_MILITARY	2	1	1	0	중국	379	OGG_MILITARY	5	422
박	PS_NAME	1	345	297	48	박	345	PS_NAME	1	17466
북한	LCP_COUNTRY	2	230	195	35	북한	345	LCP_COUNTRY	3	3705
북한	OGG_POLITICS	2	113	95	18	북한	345	OGG_POLITICS	3	4492
북한	OGG_SPORTS	2	2	2	0	북한	345	OGG_SPORTS	3	970
의원	CV_POSITION	2	326	263	63	의원	326	CV_POSITION	1	4290
이	PS_NAME	1	316	276	40	이	316	PS_NAME	1	17466
하나	QT_COUNT	2	300	253	47	하나	315	QT_COUNT	5	3166
하나	QT_MAN_COUNT	2	12	11	1	하나	315	QT_MAN_COUNT	5	2224
하나	OGG_ECONOMY	2	1	0	1	하나	315	OGG_ECONOMY	5	1897
하나	QT_ORDER	2	1	1	0	하나	315	QT_ORDER	5	2633
하나	PS_NAME	2	1	1	0	하나	315	PS_NAME	5	17466
1점	QT_OTHERS	2	301	271	30	1점	308	QT_OTHERS	3	1946
1점	QT_SPORTS	2	6	4	2	1점	308	QT_SPORTS	3	372
1점	QT_COUNT	2	1	1	0	1점	308	QT_COUNT	3	3166
정부	OGG_POLITICS	2	305	263	42	정부	306	OGG_POLITICS	2	4492
정부	OGG_ECONOMY	2	1	1	0	정부	306	OGG_ECONOMY	2	1897
검찰	OGG_POLITICS	2	289	243	46	검찰	289	OGG_POLITICS	1	4492
1편	QT_ORDER	2	216	192	24	1편	218	QT_ORDER	3	2633
1편	AFA_VIDEO	2	1	1	0	1편	218	AFA_VIDEO	3	2287
1편	QT_COUNT	2	1	1	0	1편	218	QT_COUNT	3	3166
오후	TI_DURATION	2	191	153	38	오후	193	TI_DURATION	3	1703
오후	TI_HOUR	2	1	1	0	오후	193	TI_HOUR	3	331
오후	TI_OTHERS	2	1	1	0	오후	193	TI_OTHERS	3	577
대표	CV_POSITION	2	188	153	35	대표	189	CV_POSITION	2	4290
대표	EV_OTHERS	2	1	1	0	대표	189	EV_OTHERS	2	826
가수	CV_OCCUPATION	2	182	148	34	가수	182	CV_OCCUPATION	1	3329
오전	TI_DURATION	2	179	143	36	오전	181	TI_DURATION	2	1703
오전	TI_HOUR	2	2	2	0	오전	181	TI_HOUR	2	331
가족	CV_RELATION	2	177	134	43	가족	179	CV_RELATION	3	1679
가족	AFW_SERVICE_PRODUCTS	2	1	0	1	가족	179	AFW_SERVICE_PRODUCTS	3	14
가족	OGG_OTHERS	2	1	1	0	가족	179	OGG_OTHERS	3	531
B	PS_NAME	1	173	151	22	B	175	PS_NAME	2	17466
B	QT_ORDER	1	2	1	1	B	175	QT_ORDER	2	2633
회장	CV_POSITION	2	175	142	33	회장	175	CV_POSITION	1	4290
학생	CV_OCCUPATION	2	171	147	24	학생	171	CV_OCCUPATION	1	3329
오늘	DT_DAY	2	160	124	36	오늘	162	DT_DAY	2	4356
오늘	DT_DURATION	2	2	1	1	오늘	162	DT_DURATION	2	1879
국회	OGG_POLITICS	2	153	129	24	국회	155	OGG_POLITICS	3	4492
국회	CV_POSITION	2	1	0	1	국회	155	CV_POSITION	3	4290
국회	AF_BUILDING	2	1	1	0	국회	155	AF_BUILDING	3	447
새누리당	OGG_POLITICS	4	153	124	29	새누리당	153	OGG_POLITICS	1	4492
아들	CV_RELATION	2	152	122	30	아들	152	CV_RELATION	1	1679
선수	CV_OCCUPATION	2	146	120	26	선수	147	CV_OCCUPATION	2	3329
